link_candidate_id,nct_id,registry_record_id,pmid,pubmed_record_id,reference_type,registry_question_ids,registry_title,pubmed_title,pubmed_doi,agent_recommendation,recommendation_reason,pubmed_in_search_corpus,source_context_sha256,decision_authority,human_link_decision,verified_by,verified_at
LINK-CTGOV-NCT02273609-PMID-16494639,NCT02273609,REC-CTGOV-NCT02273609,16494639,REC-PUBMED-16494639,RESULT,A1,INR Control and Atrial Fibrillation in Primary Care in Spain (PAULA),,,strong_link_candidate_needs_validation,등록자료의 결과 참고문헌으로 명시되어 해당 임상시험 보고서일 가능성이 높습니다.,false,5f7a36a3939a84b3f21ecd1852888f7b3416714f6ab0cefeb5278456bed4c421,agent_prereview_only,,,
LINK-CTGOV-NCT02273609-PMID-17221328,NCT02273609,REC-CTGOV-NCT02273609,17221328,REC-PUBMED-17221328,RESULT,A1,INR Control and Atrial Fibrillation in Primary Care in Spain (PAULA),Descriptive analysis of the process and quality of oral anticoagulation management in real-life practice in patients with chronic non-valvular atrial fibrillation: the international study of anticoagulation management (ISAM).,10.1007/s11239-006-9022-7,strong_link_candidate_needs_validation,등록자료의 결과 참고문헌으로 명시되어 해당 임상시험 보고서일 가능성이 높습니다.,true,24fd78bc8266b9f565b265eeb17f2607b925f48b33c78f61c2d499f221caa322,agent_prereview_only,,,
LINK-CTGOV-NCT02273609-PMID-19062079,NCT02273609,REC-CTGOV-NCT02273609,19062079,REC-PUBMED-19062079,RESULT,A1,INR Control and Atrial Fibrillation in Primary Care in Spain (PAULA),,,strong_link_candidate_needs_validation,등록자료의 결과 참고문헌으로 명시되어 해당 임상시험 보고서일 가능성이 높습니다.,false,4cc5fa6e0c1845650e33d8248edb838f6672a0c9bd3f7f420827ba534cb02230,agent_prereview_only,,,
LINK-CTGOV-NCT02273609-PMID-21504259,NCT02273609,REC-CTGOV-NCT02273609,21504259,REC-PUBMED-21504259,RESULT,A1,INR Control and Atrial Fibrillation in Primary Care in Spain (PAULA),,,strong_link_candidate_needs_validation,등록자료의 결과 참고문헌으로 명시되어 해당 임상시험 보고서일 가능성이 높습니다.,false,5011a5351b42499ef628ad5c4be97c0d58c6bffccb58006fb64adbf3bde4c475,agent_prereview_only,,,
LINK-CTGOV-NCT02273609-PMID-21901239,NCT02273609,REC-CTGOV-NCT02273609,21901239,REC-PUBMED-21901239,RESULT,A1,INR Control and Atrial Fibrillation in Primary Care in Spain (PAULA),,,strong_link_candidate_needs_validation,등록자료의 결과 참고문헌으로 명시되어 해당 임상시험 보고서일 가능성이 높습니다.,false,7e4625ebec816373e1f9f383d914b6e0caf25bd59582fb4d99c269148ae5e805,agent_prereview_only,,,
LINK-CTGOV-NCT02273609-PMID-23683967,NCT02273609,REC-CTGOV-NCT02273609,23683967,REC-PUBMED-23683967,RESULT,A1,INR Control and Atrial Fibrillation in Primary Care in Spain (PAULA),,,strong_link_candidate_needs_validation,등록자료의 결과 참고문헌으로 명시되어 해당 임상시험 보고서일 가능성이 높습니다.,false,3be07402e27110af12b1e9e588fc017c94b464b1769a409b85b552873369e43a,agent_prereview_only,,,
LINK-CTGOV-NCT02273609-PMID-25173533,NCT02273609,REC-CTGOV-NCT02273609,25173533,REC-PUBMED-25173533,RESULT,A1,INR Control and Atrial Fibrillation in Primary Care in Spain (PAULA),"Addressing barriers to optimal oral anticoagulation use and persistence among patients with atrial fibrillation: Proceedings, Washington, DC, December 3-4, 2012.",10.1016/j.ahj.2014.04.007,strong_link_candidate_needs_validation,등록자료의 결과 참고문헌으로 명시되어 해당 임상시험 보고서일 가능성이 높습니다.,true,707c6a669d2fa3dc47a4a6c2230b872eba0a3d628e213d6853fbb552b7513d13,agent_prereview_only,,,
LINK-CTGOV-NCT02303795-PMID-33045224,NCT02303795,REC-CTGOV-NCT02303795,33045224,REC-PUBMED-33045224,DERIVED,A1,RIvaroxaban for Valvular Heart diseasE and atRial Fibrillation Trial -RIVER Trial,,,probable_link_candidate_needs_validation,등록자료의 파생 참고문헌이지만 결과 보고서·후속 분석·도구 논문을 사람이 구분해야 합니다.,false,e07abec2edde84c172880e163f85d39cb3685704de9ea29763d79f10999f42b7,agent_prereview_only,,,
LINK-CTGOV-NCT02303795-PMID-33196155,NCT02303795,REC-CTGOV-NCT02303795,33196155,REC-PUBMED-33196155,DERIVED,A1,RIvaroxaban for Valvular Heart diseasE and atRial Fibrillation Trial -RIVER Trial,,,probable_link_candidate_needs_validation,등록자료의 파생 참고문헌이지만 결과 보고서·후속 분석·도구 논문을 사람이 구분해야 합니다.,false,69c19c1ecca32ee2c7b48f781d810280f8d3267cda6a4de42b394c4786b92080,agent_prereview_only,,,
LINK-CTGOV-NCT02318342-PMID-26436963,NCT02318342,REC-CTGOV-NCT02318342,26436963,REC-PUBMED-26436963,BACKGROUND,A1,Assessment of TRanscathetEr and Surgical Aortic BiOprosthetic Valve Thrombosis and Its TrEatment With Anticoagulation,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,2ca7e2204f31028dc68f80ad1a33d9f8d8ef91160680d6f45b2c78d9d3fcd852,agent_prereview_only,,,
LINK-CTGOV-NCT02318342-PMID-28330690,NCT02318342,REC-CTGOV-NCT02318342,28330690,REC-PUBMED-28330690,BACKGROUND,A1,Assessment of TRanscathetEr and Surgical Aortic BiOprosthetic Valve Thrombosis and Its TrEatment With Anticoagulation,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,8bd9cc15de264fb6e99290fb4f84bb5be21ba46bccc6305f756d1d4eb357b481,agent_prereview_only,,,
LINK-CTGOV-NCT02318342-PMID-32192689,NCT02318342,REC-CTGOV-NCT02318342,32192689,REC-PUBMED-32192689,DERIVED,A1,Assessment of TRanscathetEr and Surgical Aortic BiOprosthetic Valve Thrombosis and Its TrEatment With Anticoagulation,,,probable_link_candidate_needs_validation,등록자료의 파생 참고문헌이지만 결과 보고서·후속 분석·도구 논문을 사람이 구분해야 합니다.,false,51646e447e9e2078c8879f12045a439941bb5a27d4a2b7b3c15adcd647bd7b9f,agent_prereview_only,,,
LINK-CTGOV-NCT02318342-PMID-33213747,NCT02318342,REC-CTGOV-NCT02318342,33213747,REC-PUBMED-33213747,DERIVED,A1,Assessment of TRanscathetEr and Surgical Aortic BiOprosthetic Valve Thrombosis and Its TrEatment With Anticoagulation,,,probable_link_candidate_needs_validation,등록자료의 파생 참고문헌이지만 결과 보고서·후속 분석·도구 논문을 사람이 구분해야 합니다.,false,c1cbd822480ad64c0378b7a609bc317b14fc63b707ac852dcc7b7c03ff1ea8c6,agent_prereview_only,,,
LINK-CTGOV-NCT02318342-PMID-35680192,NCT02318342,REC-CTGOV-NCT02318342,35680192,REC-PUBMED-35680192,DERIVED,A1,Assessment of TRanscathetEr and Surgical Aortic BiOprosthetic Valve Thrombosis and Its TrEatment With Anticoagulation,,,probable_link_candidate_needs_validation,등록자료의 파생 참고문헌이지만 결과 보고서·후속 분석·도구 논문을 사람이 구분해야 합니다.,false,7bea2abee4677a241474a5ace1e7d3a9f5234e57a643a8da35e2dc29dd3b8fa9,agent_prereview_only,,,
LINK-CTGOV-NCT02318342-PMID-39260960,NCT02318342,REC-CTGOV-NCT02318342,39260960,REC-PUBMED-39260960,DERIVED,A1,Assessment of TRanscathetEr and Surgical Aortic BiOprosthetic Valve Thrombosis and Its TrEatment With Anticoagulation,,,probable_link_candidate_needs_validation,등록자료의 파생 참고문헌이지만 결과 보고서·후속 분석·도구 논문을 사람이 구분해야 합니다.,false,a3e185efd4844d1445c310f2a149f73122bf852686f9c72e999e4c78f32fc408,agent_prereview_only,,,
LINK-CTGOV-NCT02318342-PMID-40325986,NCT02318342,REC-CTGOV-NCT02318342,40325986,REC-PUBMED-40325986,DERIVED,A1,Assessment of TRanscathetEr and Surgical Aortic BiOprosthetic Valve Thrombosis and Its TrEatment With Anticoagulation,,,probable_link_candidate_needs_validation,등록자료의 파생 참고문헌이지만 결과 보고서·후속 분석·도구 논문을 사람이 구분해야 합니다.,false,805becec2c0833ac865b26a315ebb547b1bfcd07632e56356aa860ab4326e23f,agent_prereview_only,,,
LINK-CTGOV-NCT02324686-PMID-11260056,NCT02324686,REC-CTGOV-NCT02324686,11260056,REC-PUBMED-11260056,BACKGROUND,A1,Vitamin K Supplementation in Patients on Hemodialysis,The association of vitamin K status with warfarin sensitivity at the onset of treatment.,10.1046/j.1365-2141.2001.02635.x,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,666373b38eee4272b697c4d0cdebc83db7f469b1e0ef4d9cc5be303869a9e1a9,agent_prereview_only,,,
LINK-CTGOV-NCT02324686-PMID-15231565,NCT02324686,REC-CTGOV-NCT02324686,15231565,REC-PUBMED-15231565,BACKGROUND,A1,Vitamin K Supplementation in Patients on Hemodialysis,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,5b5fc67d2fbec780899ccbb20a5f5c7683ef1696720d2457ca2f59dd6da9a80d,agent_prereview_only,,,
LINK-CTGOV-NCT02324686-PMID-15886802,NCT02324686,REC-CTGOV-NCT02324686,15886802,REC-PUBMED-15886802,BACKGROUND,A1,Vitamin K Supplementation in Patients on Hemodialysis,Patients with unstable control have a poorer dietary intake of vitamin K compared to patients with stable control of anticoagulation.,10.1160/th04-12-0773,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,57763d75d5544e8a1aff61e399a9143f8a6cbda9fb6fa35b93cffc6dda9a393f,agent_prereview_only,,,
LINK-CTGOV-NCT02324686-PMID-16305294,NCT02324686,REC-CTGOV-NCT02324686,16305294,REC-PUBMED-16305294,BACKGROUND,A1,Vitamin K Supplementation in Patients on Hemodialysis,Low-dose vitamin K to augment anticoagulation control.,10.1592/phco.2005.25.12.1746,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,774781b679247224290f944b5a1c6db218b2bd0f83b657fce7a801c3e85f0507,agent_prereview_only,,,
LINK-CTGOV-NCT02324686-PMID-17110451,NCT02324686,REC-CTGOV-NCT02324686,17110451,REC-PUBMED-17110451,BACKGROUND,A1,Vitamin K Supplementation in Patients on Hemodialysis,Vitamin K supplementation can improve stability of anticoagulation for patients with unexplained variability in response to warfarin.,10.1182/blood-2006-09-049262,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,72c0ac0181d4ba35ae8516ced56ba44031a2f644d3cb14839381f4f6b2014d87,agent_prereview_only,,,
LINK-CTGOV-NCT02324686-PMID-17296878,NCT02324686,REC-CTGOV-NCT02324686,17296878,REC-PUBMED-17296878,BACKGROUND,A1,Vitamin K Supplementation in Patients on Hemodialysis,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,1dd6bf1befe77f42fa224525e781de14938e6f3be686514778ca4f1a1cb2e20e,agent_prereview_only,,,
LINK-CTGOV-NCT02324686-PMID-17323135,NCT02324686,REC-CTGOV-NCT02324686,17323135,REC-PUBMED-17323135,BACKGROUND,A1,Vitamin K Supplementation in Patients on Hemodialysis,Prospective study of supplemental vitamin K therapy in patients on oral anticoagulants with unstable international normalized ratios.,10.1007/s11239-007-0014-z,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,d0f379daffbc6581301e95b9fcc690ed71d8781b571755d07b6869867c92d61e,agent_prereview_only,,,
LINK-CTGOV-NCT02324686-PMID-17666020,NCT02324686,REC-CTGOV-NCT02324686,17666020,REC-PUBMED-17666020,BACKGROUND,A1,Vitamin K Supplementation in Patients on Hemodialysis,Daily vitamin K supplementation improves anticoagulant stability.,10.1111/j.1538-7836.2007.02715.x,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,c8e5b5fd7adb9698be5bb19e235bb3ae6754aeebdada826d292404054706cd64,agent_prereview_only,,,
LINK-CTGOV-NCT02324686-PMID-17698826,NCT02324686,REC-CTGOV-NCT02324686,17698826,REC-PUBMED-17698826,BACKGROUND,A1,Vitamin K Supplementation in Patients on Hemodialysis,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,ced8f5907bc99424af642b41dfec110464187cee7328c95e9dff7d389507993f,agent_prereview_only,,,
LINK-CTGOV-NCT02324686-PMID-19809054,NCT02324686,REC-CTGOV-NCT02324686,19809054,REC-PUBMED-19809054,BACKGROUND,A1,Vitamin K Supplementation in Patients on Hemodialysis,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,8091b549e7d32c5c6774dca6658be8c868f676e06d5cf1981a0a011e0421d360,agent_prereview_only,,,
LINK-CTGOV-NCT02324686-PMID-19878532,NCT02324686,REC-CTGOV-NCT02324686,19878532,REC-PUBMED-19878532,BACKGROUND,A1,Vitamin K Supplementation in Patients on Hemodialysis,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,c4f2b429cb259e9dd13d5eccbcde80b485613b3411007d8de1fe300d26b6a358,agent_prereview_only,,,
LINK-CTGOV-NCT02324686-PMID-21193422,NCT02324686,REC-CTGOV-NCT02324686,21193422,REC-PUBMED-21193422,BACKGROUND,A1,Vitamin K Supplementation in Patients on Hemodialysis,Vitamin K1 supplementation to improve the stability of anticoagulation therapy with vitamin K antagonists: a dose-finding study.,10.3324/haematol.2010.035162,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,0d9cf480a96997658c12909856ac05afb2f081b826072a9479b2456d814e320c,agent_prereview_only,,,
LINK-CTGOV-NCT02324686-PMID-21414530,NCT02324686,REC-CTGOV-NCT02324686,21414530,REC-PUBMED-21414530,BACKGROUND,A1,Vitamin K Supplementation in Patients on Hemodialysis,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,5719469c97b44fc8f3a6590787ba4dd1ac0ec7d27d08842171d5e68f29f0826c,agent_prereview_only,,,
LINK-CTGOV-NCT02324686-PMID-22169620,NCT02324686,REC-CTGOV-NCT02324686,22169620,REC-PUBMED-22169620,BACKGROUND,A1,Vitamin K Supplementation in Patients on Hemodialysis,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,a3e23fd767dd005c1dce831722e6e2468908780a5eb84a875d1c190f735ece03,agent_prereview_only,,,
LINK-CTGOV-NCT02324686-PMID-22315259,NCT02324686,REC-CTGOV-NCT02324686,22315259,REC-PUBMED-22315259,BACKGROUND,A1,Vitamin K Supplementation in Patients on Hemodialysis,"Evidence-based management of anticoagulant therapy: Antithrombotic Therapy and Prevention of Thrombosis, 9th ed: American College of Chest Physicians Evidence-Based Clinical Practice Guidelines.",10.1378/chest.11-2295,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,24a8b7c6f1669d8a9b4688d6516046cbd636eccd0190a0de47dc1b9f3b72f6b0,agent_prereview_only,,,
LINK-CTGOV-NCT02324686-PMID-22433576,NCT02324686,REC-CTGOV-NCT02324686,22433576,REC-PUBMED-22433576,BACKGROUND,A1,Vitamin K Supplementation in Patients on Hemodialysis,Focused 2012 update of the Canadian Cardiovascular Society atrial fibrillation guidelines: recommendations for stroke prevention and rate/rhythm control.,10.1016/j.cjca.2012.01.021,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,f9f6e817eafc7487cddb26355f7bd502048644f586cc0e7ad20a7125470b28cc,agent_prereview_only,,,
LINK-CTGOV-NCT02324686-PMID-22648294,NCT02324686,REC-CTGOV-NCT02324686,22648294,REC-PUBMED-22648294,BACKGROUND,A1,Vitamin K Supplementation in Patients on Hemodialysis,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,4f8950d1050dfc764454bb671c7321a34a5ef45d565caf33977ad2aba4a12df9,agent_prereview_only,,,
LINK-CTGOV-NCT02324686-PMID-23114898,NCT02324686,REC-CTGOV-NCT02324686,23114898,REC-PUBMED-23114898,BACKGROUND,A1,Vitamin K Supplementation in Patients on Hemodialysis,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,a266ee2b48dba4aecc4d5d6ce6fd5057208ecb8458724f999270905d762c5d7c,agent_prereview_only,,,
LINK-CTGOV-NCT02324686-PMID-23677245,NCT02324686,REC-CTGOV-NCT02324686,23677245,REC-PUBMED-23677245,BACKGROUND,A1,Vitamin K Supplementation in Patients on Hemodialysis,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,ac818bd1cdc4542531eee00679dfcdf13117a8beda65d53f845804d667c4cde6,agent_prereview_only,,,
LINK-CTGOV-NCT02324686-PMID-23744743,NCT02324686,REC-CTGOV-NCT02324686,23744743,REC-PUBMED-23744743,BACKGROUND,A1,Vitamin K Supplementation in Patients on Hemodialysis,Anticoagulation control with daily low-dose vitamin k to reduce clinically adverse outcomes and international normalized ratio variability: a systematic review and meta-analysis.,10.1002/phar.1302,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,1335ba2db3c3245f9aa4110d44c7f62a43595c695088d91890f97e48942ea7fd,agent_prereview_only,,,
LINK-CTGOV-NCT02324686-PMID-23953594,NCT02324686,REC-CTGOV-NCT02324686,23953594,REC-PUBMED-23953594,BACKGROUND,A1,Vitamin K Supplementation in Patients on Hemodialysis,Effect of 200μG/day of vitamin K1 on the variability of anticoagulation control in patients on warfarin: a randomized controlled trial.,10.1016/j.thromres.2013.07.019,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,ab1dc99f477a1855571b0ccef2e203d984f719f24c9a556514748c5e06fac8bd,agent_prereview_only,,,
LINK-CTGOV-NCT02324686-PMID-24008579,NCT02324686,REC-CTGOV-NCT02324686,24008579,REC-PUBMED-24008579,BACKGROUND,A1,Vitamin K Supplementation in Patients on Hemodialysis,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,2de37f95316d34d68a3845ac26c727294c1b5545b72604a83ad807fa5eb42505,agent_prereview_only,,,
LINK-CTGOV-NCT02324686-PMID-24285427,NCT02324686,REC-CTGOV-NCT02324686,24285427,REC-PUBMED-24285427,BACKGROUND,A1,Vitamin K Supplementation in Patients on Hemodialysis,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,a31861c4bcc33a6039c650b155a4d7729e62d454cb0c305ca949baae77b5d140,agent_prereview_only,,,
LINK-CTGOV-NCT02324686-PMID-24452752,NCT02324686,REC-CTGOV-NCT02324686,24452752,REC-PUBMED-24452752,BACKGROUND,A1,Vitamin K Supplementation in Patients on Hemodialysis,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,3df177b973edc4871bdcb9e90634785dd9a797e203eb720b28c6075322d35461,agent_prereview_only,,,
LINK-CTGOV-NCT02324686-PMID-24685669,NCT02324686,REC-CTGOV-NCT02324686,24685669,REC-PUBMED-24685669,BACKGROUND,A1,Vitamin K Supplementation in Patients on Hemodialysis,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,b840b23dc41bf4c3bc46c38ad9822c5d0f4664cf5a56ff9ceb874725f2572864,agent_prereview_only,,,
LINK-CTGOV-NCT02429453-PMID-37870112,NCT02429453,REC-CTGOV-NCT02429453,37870112,REC-PUBMED-37870112,DERIVED,A1,FFP Versus PCC in Intracranial Hemorrhage,,,probable_link_candidate_needs_validation,등록자료의 파생 참고문헌이지만 결과 보고서·후속 분석·도구 논문을 사람이 구분해야 합니다.,false,2cb325e72506954f07aae03aa50ee83bc6ed70bcf57eb07fc565c3a90546861e,agent_prereview_only,,,
LINK-CTGOV-NCT02464969-PMID-42392108,NCT02464969,REC-CTGOV-NCT02464969,42392108,REC-PUBMED-42392108,DERIVED,A1,Apixaban for the Acute Treatment of Venous Thromboembolism in Children,"Apixaban for the treatment of venous thromboembolic events in paediatric patients: an open-label, multicentre, randomised, controlled descriptive trial.",10.1016/s2352-3026(26)00107-9,probable_link_candidate_needs_validation,등록자료의 파생 참고문헌이지만 결과 보고서·후속 분석·도구 논문을 사람이 구분해야 합니다.,true,ee1c338995a49426eb1d7bb9cea2c0686e5b195aeeb2d3b28061847ed9dde7b8,agent_prereview_only,,,
LINK-CTGOV-NCT02488421-PMID-27678530,NCT02488421,REC-CTGOV-NCT02488421,27678530,REC-PUBMED-27678530,DERIVED,A1,"Real Evidence of Anticoagulation Treatment in Non-valvular Atrial Fibrillation in Germany, UK and France: REACT-AF2",Early real-world evidence of persistence on oral anticoagulants for stroke prevention in non-valvular atrial fibrillation: a cohort study in UK primary care.,10.1136/bmjopen-2016-011471,probable_link_candidate_needs_validation,등록자료의 파생 참고문헌이지만 결과 보고서·후속 분석·도구 논문을 사람이 구분해야 합니다.,true,af9bb9a2d2f457bcdaa5ae092980fd3c14c95c304365745c010da81b5de217f1,agent_prereview_only,,,
LINK-CTGOV-NCT02488421-PMID-29398546,NCT02488421,REC-CTGOV-NCT02488421,29398546,REC-PUBMED-29398546,DERIVED,A1,"Real Evidence of Anticoagulation Treatment in Non-valvular Atrial Fibrillation in Germany, UK and France: REACT-AF2",Initiation and continuation of oral anticoagulant prescriptions for stroke prevention in non-valvular atrial fibrillation: A cohort study in primary care in France.,10.1016/j.acvd.2017.10.003,probable_link_candidate_needs_validation,등록자료의 파생 참고문헌이지만 결과 보고서·후속 분석·도구 논문을 사람이 구분해야 합니다.,true,2ae9edc132c0d542a9ad597c450cf76af5c4ff4afe81bca7d877d47bba15fb40,agent_prereview_only,,,
LINK-CTGOV-NCT02533960-PMID-31259266,NCT02533960,REC-CTGOV-NCT02533960,31259266,REC-PUBMED-31259266,BACKGROUND,A1,Registry of Acute Stroke Under Novel Oral Anticoagulants - Prime,Rationale and design of the Registry of Acute Stroke Under Novel Oral Anticoagulants-prime (RASUNOA-prime).,10.1177/2396987318812644,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,2a7b71ea5b7576060a439a74ce25c1a16ddad8829b2a99d200125a835486f52b,agent_prereview_only,,,
LINK-CTGOV-NCT02533960-PMID-41749338,NCT02533960,REC-CTGOV-NCT02533960,41749338,REC-PUBMED-41749338,DERIVED,A1,Registry of Acute Stroke Under Novel Oral Anticoagulants - Prime,Intracranial hemorrhage after ischemic stroke in patients on direct oral anticoagulants: results from a prospective observational study.,10.1186/s42466-026-00462-y,probable_link_candidate_needs_validation,등록자료의 파생 참고문헌이지만 결과 보고서·후속 분석·도구 논문을 사람이 구분해야 합니다.,true,47a49f999c31d1ec2b9ccf3f008e81749629521713d06260205670e03b33ccbb,agent_prereview_only,,,
LINK-CTGOV-NCT02533960-PMID-42087546,NCT02533960,REC-CTGOV-NCT02533960,42087546,REC-PUBMED-42087546,DERIVED,A1,Registry of Acute Stroke Under Novel Oral Anticoagulants - Prime,Prevalence and Association of Atherosclerosis to Ischemic Stroke in Patients With Atrial Fibrillation on Anticoagulation.,10.1161/strokeaha.126.055284,probable_link_candidate_needs_validation,등록자료의 파생 참고문헌이지만 결과 보고서·후속 분석·도구 논문을 사람이 구분해야 합니다.,true,f51aea7699f71212c5e8a312f62e60be5d8d1019ab02bdbef0916b7d3d0f5606,agent_prereview_only,,,
LINK-CTGOV-NCT02565836-PMID-17852462,NCT02565836,REC-CTGOV-NCT02565836,17852462,REC-PUBMED-17852462,BACKGROUND,A1,Fixed-dose Activated Versus Variable-dose Inactivated Prothrombin Complex Concentrate for Warfarin-associated Major Bleed,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,caa49b5518cef64412087812112346d3882c661e6e00ed7273753d4023898a02,agent_prereview_only,,,
LINK-CTGOV-NCT02565836-PMID-20436891,NCT02565836,REC-CTGOV-NCT02565836,20436891,REC-PUBMED-20436891,BACKGROUND,A1,Fixed-dose Activated Versus Variable-dose Inactivated Prothrombin Complex Concentrate for Warfarin-associated Major Bleed,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,1f6797cafe3318127ba17f2b7cd77e7323f01c026f45cca07bf7bf3e5f73bd29,agent_prereview_only,,,
LINK-CTGOV-NCT02565836-PMID-22491734,NCT02565836,REC-CTGOV-NCT02565836,22491734,REC-PUBMED-22491734,BACKGROUND,A1,Fixed-dose Activated Versus Variable-dose Inactivated Prothrombin Complex Concentrate for Warfarin-associated Major Bleed,"An observational, prospective, two-cohort comparison of a fixed versus variable dosing strategy of prothrombin complex concentrate to counteract vitamin K antagonists in 240 bleeding emergencies.",10.3324/haematol.2012.063701,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,39b45de5146af6a0d6ee83df88a4d26996c0628e07d74279265143b3914a6d2e,agent_prereview_only,,,
LINK-CTGOV-NCT02565836-PMID-23763937,NCT02565836,REC-CTGOV-NCT02565836,23763937,REC-PUBMED-23763937,BACKGROUND,A1,Fixed-dose Activated Versus Variable-dose Inactivated Prothrombin Complex Concentrate for Warfarin-associated Major Bleed,Experiences with an activated 4-factor prothrombin complex concentrate (FEIBA) for reversal of warfarin-related bleeding.,10.1016/j.ajem.2013.05.008,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,f0c7192476513c2f8ba202463240d591da572c1f8305b3177edce8117525f173,agent_prereview_only,,,
